Customer_ID,Age,Gender,Marital_Status,Education_Level,Region,District/Location,Occupation,Monthly_Income,Savings_Balance,Loan_Amount,Loan_Term_Months,Loan_Purpose,Collateral_Type,Guarantor_Relationship,Dependents,Business_Experience_Years,Past_Defaults,Previous_Loans,Credit_History_Length,Employment_Status,House_Ownership,Loan_to_Income_Ratio,Savings_to_Income_Ratio,Debt_to_Income_Ratio,Credit_Score_Internal,Late_Payments_PastYear,Other_Debts,Mobile_Money_Transactions,Bank_Account,Financial_Literacy_Level,Community_Reputation,Loan_Officer_ID,Branch_ID,Application_Channel,Seasonality_Factor,Missed_Meetings,Default_Status
CUST-000011,59,Male,Married,JHS,Western,Sekondi-Takoradi,Trader,2095,61.0,11413,12,Trading,Land,Parent,3,21,0,Yes,1.0,Self-Employed,Rent,5.45,0.03,5.45,613,3,0,1905,No,Low,Good,LO_040,Tamale-03,Walk-in,0.89,1,No
CUST-000012,23,Male,Married,JHS,Central,Assin North,Transport Operator,3631,846.0,30227,36,Trading,Guarantor,Spouse,2,0,1,Yes,4.0,Self-Employed,Rent,8.32,0.23,8.67,577,2,1268,981,No,Medium,Average,LO_040,Kumasi-02,Walk-in,1.17,0,Yes
CUST-000013,29,Female,Single,Primary,Northern,Gushegu,Artisan,7605,2065.0,15068,24,Trading,Land,None,0,6,1,Yes,3.0,Salaried,Own,1.98,0.27,1.98,707,2,0,1395,No,Medium,Average,LO_024,CapeCoast-07,Agent,0.79,0,No
CUST-000014,42,Male,Single,JHS,Ashanti,Asokore Mampong,Artisan,2210,954.0,8135,12,Transport,Guarantor,Parent,0,12,2,Yes,5.0,Self-Employed,Family,3.68,0.43,5.11,476,5,3152,0,No,Low,Poor,LO_032,Bolga-08,Mobile,0.92,1,No
CUST-000015,56,Female,Married,SHS,Upper East,Bongo,Artisan,1500,437.0,4870,12,Farming,Land,None,1,18,1,Yes,6.0,Self-Employed,Family,3.25,0.29,3.25,575,4,0,876,No,Medium,Average,LO_041,Accra-01,Mobile,1.12,2,No
CUST-000016,26,Female,Single,Tertiary,Volta,Ho Municipal,Trader,395,505.0,1151,6,Others,Guarantor,Parent,1,3,0,Yes,1.0,Self-Employed,Rent,2.91,1.28,2.91,734,0,0,105,Yes,Medium,Good,LO_015,Kumasi-02,Walk-in,1.0,0,No
CUST-000017,25,Female,Single,Primary,Western,Jomoro,Transport Operator,3851,336.0,500,6,Trading,Land,None,2,3,2,Yes,1.0,Self-Employed,Family,0.13,0.09,1.21,546,2,4170,3955,No,Low,Poor,LO_037,Bolga-08,Walk-in,0.82,1,No
CUST-000018,61,Female,Single,JHS,Volta,Hohoe,Farmer,3286,422.0,4485,12,Housing,Land,None,0,21,0,No,1.0,Salaried,Rent,1.36,0.13,1.36,702,0,0,4009,Yes,Medium,Good,LO_006,Sekondi-05,Walk-in,1.03,0,No
CUST-000019,36,Male,Married,SHS,Central,Assin North,Trader,3202,880.0,9771,6,Others,None,None,2,7,2,Yes,2.0,Self-Employed,Family,3.05,0.27,4.7,497,5,5290,613,No,Medium,Poor,LO_030,Accra-01,Mobile,0.85,3,No
CUST-000020,34,Male,Divorced,JHS,Volta,Keta,Trader,379,95.0,1665,3,Education,Guarantor,Sibling,2,0,0,Yes,6.0,Unemployed,Rent,4.39,0.25,4.79,683,0,150,198,No,Medium,Good,LO_004,Koforidua-06,Walk-in,1.11,1,No
CUST-000021,34,Female,Divorced,SHS,Ashanti,Ahafo Ano North,Trader,4510,948.0,11741,24,Others,Guarantor,Spouse,1,8,0,Yes,5.0,Self-Employed,Rent,2.6,0.21,3.05,739,2,2023,5000,No,Medium,Good,LO_032,Koforidua-06,Walk-in,0.99,0,No
CUST-000022,55,Female,Single,JHS,Eastern,Koforidua,Artisan,575,50.0,500,6,Education,Livestock,None,3,18,2,Yes,5.0,Self-Employed,Family,0.87,0.09,0.87,504,4,0,0,No,High,Poor,LO_041,CapeCoast-07,Referral,1.17,1,Yes
CUST-000023,57,Female,Married,JHS,Western,Ahanta West,Transport Operator,4676,871.0,20615,24,Trading,Vehicle,None,1,17,1,Yes,2.0,Self-Employed,Rent,4.41,0.19,4.41,633,1,0,5000,No,Low,Average,LO_049,Bolga-08,Walk-in,1.04,0,No
CUST-000024,34,Female,Married,SHS,Greater Accra,Ledzokuku-Krowor,Trader,2815,1077.0,6614,12,Others,Guarantor,Parent,3,3,2,No,4.0,Self-Employed,Rent,2.35,0.38,3.11,528,4,2150,741,Yes,Medium,Poor,LO_021,CapeCoast-07,Walk-in,1.06,1,Yes
CUST-000025,25,Male,Single,Primary,Volta,North Tongu,Farmer,419,50.0,727,6,Education,None,None,2,0,0,Yes,5.0,Unemployed,Family,1.74,0.12,1.74,634,3,0,919,No,Low,Average,LO_017,Ho-04,Mobile,0.72,1,No
CUST-000026,63,Male,Single,JHS,Upper East,Bawku,Farmer,686,350.0,500,6,Farming,None,None,1,24,0,No,5.0,Self-Employed,Rent,0.73,0.51,0.73,680,4,0,712,Yes,Low,Average,LO_016,Sekondi-05,Referral,1.29,1,No
CUST-000027,43,Female,Divorced,SHS,Northern,Gushegu,Civil Servant,7312,4735.0,500,12,Transport,Guarantor,Spouse,0,10,0,No,5.0,Salaried,Rent,0.07,0.65,0.07,813,3,0,5000,Yes,Low,Average,LO_048,Accra-01,Mobile,0.98,0,No
CUST-000028,36,Female,Married,Tertiary,Western,Jomoro,Civil Servant,9478,577.0,28332,24,Transport,Land,None,0,4,0,Yes,5.0,Salaried,Own,2.99,0.06,2.99,793,0,0,5000,Yes,High,Good,LO_014,CapeCoast-07,Mobile,1.05,0,No
CUST-000029,51,Male,Married,Primary,Ashanti,Ahafo Ano North,Transport Operator,2733,50.0,500,12,Transport,None,None,5,11,0,Yes,5.0,Self-Employed,Rent,0.18,0.02,0.27,734,2,241,0,Yes,Medium,Good,LO_027,Tamale-03,Walk-in,0.75,2,No
CUST-000030,49,Female,Single,JHS,Central,Assin North,Transport Operator,6363,1601.0,500,6,Transport,None,None,1,18,0,No,5.0,Self-Employed,Rent,0.08,0.25,0.08,797,1,0,0,Yes,High,Good,LO_048,Accra-01,Referral,0.89,0,No
CUST-000031,53,Male,Single,Primary,Ashanti,Ahafo Ano North,Transport Operator,11131,79.0,69535,24,Education,Guarantor,Spouse,0,9,0,No,3.0,Self-Employed,Family,6.25,0.01,6.71,735,2,5180,0,Yes,Medium,Good,LO_027,CapeCoast-07,Mobile,1.05,0,Yes
CUST-000032,64,Male,Single,JHS,Central,Assin North,Artisan,50,50.0,500,6,Education,Guarantor,Parent,1,0,0,No,6.0,Casual,Rent,10.0,1.0,10.0,624,1,0,0,Yes,Medium,Average,LO_042,Bolga-08,Mobile,0.81,0,No
CUST-000033,30,Female,Married,None,Ashanti,Ahafo Ano North,Artisan,2531,1066.0,14009,24,Trading,Vehicle,None,2,3,0,Yes,3.0,Salaried,Own,5.53,0.42,6.63,682,1,2761,1526,Yes,Medium,Good,LO_007,CapeCoast-07,Agent,1.0,1,No
CUST-000034,31,Female,Married,None,Northern,Savelugu,Trader,5831,467.0,27027,24,Others,Land,Friend,2,4,1,Yes,5.0,Salaried,Own,4.64,0.08,4.64,584,8,0,1200,Yes,Low,Poor,LO_002,Accra-01,Walk-in,0.75,1,No
CUST-000035,30,Male,Married,Primary,Eastern,Akyemansa,Artisan,996,587.0,3925,12,Housing,Guarantor,Parent,0,3,0,Yes,3.0,Self-Employed,Rent,3.94,0.59,3.94,666,1,0,0,No,Low,Good,LO_006,Tamale-03,Mobile,1.07,0,No
CUST-000036,33,Male,Single,Primary,Volta,North Tongu,Farmer,281,117.0,656,6,Farming,Vehicle,None,0,4,0,No,2.0,Self-Employed,Rent,2.33,0.42,2.33,617,2,0,628,No,Low,Average,LO_059,Kumasi-02,Mobile,1.25,0,Yes
CUST-000037,22,Male,Single,JHS,Greater Accra,Tema,Trader,1512,50.0,3763,12,Others,Vehicle,None,1,2,0,No,5.0,Salaried,Rent,2.49,0.03,2.88,665,2,592,0,Yes,Medium,Good,LO_060,Accra-01,Walk-in,0.94,1,No
CUST-000038,53,Female,Married,JHS,Eastern,Akyemansa,Trader,4408,601.0,26313,24,Others,Guarantor,Spouse,1,15,0,Yes,3.0,Salaried,Rent,5.97,0.14,6.64,722,0,2973,3144,Yes,Medium,Good,LO_032,Accra-01,Walk-in,0.79,0,No
CUST-000039,53,Male,Married,SHS,Central,Komenda-Edina-Eguafo-Abirem,Transport Operator,6037,1392.0,20841,24,Trading,Vehicle,Parent,1,18,0,Yes,2.0,Self-Employed,Family,3.45,0.23,3.45,735,2,0,0,Yes,High,Good,LO_045,Accra-01,Walk-in,1.04,1,No
CUST-000040,43,Female,Married,JHS,Western,Ellembelle,Trader,5126,628.0,500,6,Trading,None,None,5,11,1,Yes,5.0,Self-Employed,Rent,0.1,0.12,0.1,668,3,0,0,Yes,Medium,Poor,LO_054,Koforidua-06,Walk-in,0.94,0,No
CUST-000041,40,Female,Single,Primary,Ashanti,Ejisu,Trader,3837,2537.0,26875,12,Housing,Vehicle,None,0,11,0,No,4.0,Salaried,Family,7.0,0.66,7.99,696,3,3795,0,No,Medium,Average,LO_037,Accra-01,Walk-in,0.99,1,Yes
CUST-000042,27,Female,Married,SHS,Greater Accra,Tema,Trader,1686,507.0,859,6,Housing,Vehicle,None,1,1,2,Yes,4.0,Self-Employed,Own,0.51,0.3,0.51,571,0,0,0,No,Medium,Poor,LO_039,Accra-01,Walk-in,0.83,1,No
CUST-000043,40,Male,Married,Primary,Greater Accra,Accra Metro,Transport Operator,1858,710.0,7606,12,Farming,Guarantor,Sibling,1,12,1,Yes,5.0,Salaried,Rent,4.09,0.38,4.09,593,3,0,218,No,Low,Average,LO_023,Accra-01,Walk-in,0.8,1,Yes
CUST-000044,67,Female,Single,Tertiary,Eastern,Koforidua,Teacher,2758,1161.0,6721,12,Others,Guarantor,Parent,0,28,2,Yes,4.0,Salaried,Family,2.44,0.42,2.44,557,2,0,2189,No,Medium,Poor,LO_025,CapeCoast-07,Walk-in,0.79,1,Yes
CUST-000045,21,Male,Single,Primary,Upper East,Talensi,Trader,2557,495.0,10713,12,Housing,None,Friend,0,0,0,No,,Salaried,Family,4.19,0.19,4.19,694,0,0,301,No,High,Good,LO_047,Ho-04,Walk-in,1.17,0,No
CUST-000046,55,Male,Widowed,SHS,Central,Cape Coast,Artisan,1143,50.0,1201,6,Farming,Land,None,1,14,1,Yes,5.0,Self-Employed,Own,1.05,0.04,3.08,571,3,2319,382,No,High,Average,LO_006,Kumasi-02,Walk-in,0.73,0,No
CUST-000047,44,Male,Married,SHS,Greater Accra,Accra Metro,Trader,1385,107.0,3408,12,Farming,Livestock,None,2,12,0,No,5.0,Self-Employed,Own,2.46,0.08,5.06,670,0,3601,0,No,Medium,Good,LO_033,Tamale-03,Agent,1.02,0,No
CUST-000048,28,Male,Married,JHS,Volta,Ho Municipal,Transport Operator,5045,1054.0,54459,36,Transport,Land,None,4,1,0,Yes,5.0,Self-Employed,Family,10.79,0.21,10.79,674,0,0,758,Yes,Low,Good,LO_050,Koforidua-06,Referral,0.97,0,No
CUST-000049,24,Female,Single,None,Greater Accra,Ga South,Trader,5352,725.0,46668,36,Medical,Land,None,1,4,0,No,,Self-Employed,Rent,8.72,0.14,8.72,657,2,0,115,Yes,Low,Good,LO_004,CapeCoast-07,Walk-in,0.93,2,Yes
CUST-000050,45,Male,Married,JHS,Upper East,Bawku,Farmer,393,50.0,782,12,Education,Guarantor,Friend,1,0,3,Yes,2.0,Casual,Family,1.99,0.13,1.99,429,2,0,0,No,Medium,Poor,LO_033,Kumasi-02,Walk-in,1.13,0,Yes
CUST-000051,28,Male,Single,JHS,Greater Accra,Tema,Transport Operator,4178,423.0,9976,24,Trading,Guarantor,Sibling,0,3,0,No,3.0,Self-Employed,Rent,2.39,0.1,2.39,726,0,0,0,Yes,Low,Average,LO_004,Ho-04,Walk-in,0.87,3,No
CUST-000052,26,Female,Single,Primary,Ashanti,Ahafo Ano North,Trader,4521,1465.0,29616,24,Trading,Livestock,Sibling,0,3,0,Yes,4.0,Self-Employed,Own,6.55,0.32,7.24,702,0,3101,3401,Yes,Medium,Good,LO_040,Accra-01,Walk-in,0.94,0,No
CUST-000053,50,Male,Married,Primary,Greater Accra,Ledzokuku-Krowor,Trader,4090,1190.0,3692,24,Others,Guarantor,Spouse,4,14,0,No,4.0,Salaried,Rent,0.9,0.29,2.64,764,0,7098,0,No,Medium,Good,LO_035,Accra-01,Walk-in,0.99,0,No
CUST-000054,48,Female,Married,JHS,Greater Accra,Ledzokuku-Krowor,Artisan,1055,326.0,549,6,Farming,Livestock,None,4,18,0,Yes,3.0,Self-Employed,Own,0.52,0.31,0.62,706,0,103,0,Yes,Medium,Good,LO_006,Sekondi-05,Walk-in,0.73,0,No
CUST-000055,34,Male,Married,None,Greater Accra,Tema,Trader,9471,3965.0,26288,24,Medical,Vehicle,Parent,1,7,0,No,8.0,Self-Employed,Own,2.78,0.42,4.89,841,0,20000,4453,Yes,Low,Good,LO_052,CapeCoast-07,Walk-in,0.95,0,No
CUST-000056,36,Male,Married,JHS,Upper East,Bolgatanga,Farmer,718,,500,6,Farming,None,None,2,7,0,No,4.0,Self-Employed,Family,0.7,,0.7,670,0,0,318,No,High,Good,LO_025,Sekondi-05,Mobile,1.39,0,No
CUST-000057,30,Female,Married,SHS,Ashanti,Ahafo Ano North,Transport Operator,6357,2357.0,19604,24,Transport,Guarantor,Spouse,2,5,2,Yes,9.0,Self-Employed,Rent,3.08,0.37,3.08,607,3,0,5000,Yes,Medium,Poor,LO_042,Bolga-08,Walk-in,0.77,2,No
CUST-000058,21,Male,Single,Tertiary,Central,Assin North,Trader,857,50.0,1210,3,Transport,Land,None,0,0,1,Yes,5.0,Self-Employed,Family,1.41,0.06,1.41,549,4,0,424,No,High,Poor,LO_057,Accra-01,Walk-in,0.86,1,No
CUST-000059,43,Female,Divorced,JHS,Ashanti,Ejisu,Artisan,1345,155.0,2596,12,Education,None,None,2,19,0,No,4.0,Self-Employed,Family,1.93,0.12,1.93,700,0,0,703,Yes,Medium,Good,LO_005,Accra-01,Referral,1.09,2,No
CUST-000060,61,Male,Married,Primary,Upper East,Bongo,Trader,1252,271.0,3257,12,Others,Guarantor,Sibling,3,19,0,Yes,4.0,Salaried,Rent,2.6,0.22,4.72,699,0,2648,1617,Yes,Medium,Average,LO_019,Accra-01,Walk-in,1.03,3,No
CUST-000061,31,Male,Single,SHS,Volta,Hohoe,Trader,4293,571.0,500,6,Housing,None,None,0,8,2,Yes,4.0,Self-Employed,Own,0.12,0.13,0.12,580,1,0,5000,Yes,High,Poor,LO_053,CapeCoast-07,Agent,0.74,2,No
CUST-000062,34,Male,Single,JHS,Northern,Gushegu,Farmer,775,95.0,2758,12,Farming,Guarantor,Friend,1,7,1,Yes,8.0,Self-Employed,Family,3.56,0.12,6.53,570,3,2299,0,No,Low,Average,LO_058,Koforidua-06,Agent,1.18,0,No
CUST-000063,31,Male,Married,SHS,Western,Sekondi-Takoradi,Trader,5897,2640.0,13917,24,Medical,None,None,4,4,0,No,4.0,Self-Employed,Own,2.36,0.45,2.36,773,1,0,0,Yes,Medium,Good,LO_031,Kumasi-02,Agent,1.14,2,No
CUST-000064,43,Male,Married,Tertiary,Central,Twifo-Atii,Teacher,2462,90.0,5149,12,Medical,Livestock,None,6,11,0,No,6.0,Salaried,Own,2.09,0.04,3.09,735,3,2448,0,No,High,Good,LO_003,Tamale-03,Walk-in,0.8,2,Yes
CUST-000065,38,Female,Married,None,Greater Accra,Ga South,Trader,3483,1238.0,16219,12,Transport,Vehicle,None,2,14,0,No,3.0,Self-Employed,Family,4.66,0.36,7.37,676,3,9444,0,Yes,Medium,Good,LO_032,Ho-04,Walk-in,0.89,2,No
CUST-000066,40,Male,Married,JHS,Greater Accra,Ga South,Trader,4222,224.0,13688,24,Education,None,None,4,6,0,Yes,5.0,Self-Employed,Family,3.24,0.05,3.43,699,3,783,0,No,Medium,Good,LO_030,Kumasi-02,Mobile,0.88,1,No
CUST-000067,46,Male,Single,JHS,Upper East,Bawku,Trader,420,50.0,1470,3,Education,None,None,0,0,0,No,1.0,Unemployed,Rent,3.5,0.12,4.27,641,0,323,297,No,High,Good,LO_056,Accra-01,Agent,1.12,2,No
CUST-000068,44,Male,Married,SHS,Western,Sekondi-Takoradi,Civil Servant,7225,4864.0,500,12,Farming,Land,None,3,16,0,No,2.0,Salaried,Rent,0.07,0.67,0.07,850,0,0,334,Yes,High,Good,LO_056,Kumasi-02,Mobile,1.07,0,No
CUST-000069,38,Female,Married,Primary,Ashanti,Asokore Mampong,Trader,1897,603.0,500,12,Housing,Vehicle,None,4,8,1,Yes,7.0,Self-Employed,Rent,0.26,0.32,0.26,632,2,0,449,Yes,Medium,Average,LO_056,Tamale-03,Walk-in,0.93,0,No
CUST-000070,58,Female,Single,SHS,Central,Twifo-Atii,Artisan,719,50.0,500,6,Others,None,None,0,15,0,No,5.0,Self-Employed,Rent,0.7,0.07,3.35,654,4,1910,160,No,Medium,Average,LO_046,Koforidua-06,Agent,0.83,1,Yes
CUST-000071,25,Female,Married,SHS,Ashanti,Kumasi Metro,Artisan,647,224.0,500,6,Education,Land,None,1,0,0,Yes,3.0,Casual,Family,0.77,0.35,0.77,698,0,0,198,No,High,Good,LO_008,Sekondi-05,Walk-in,1.06,2,No
CUST-000072,41,Female,Married,SHS,Ashanti,Asokore Mampong,Trader,5722,416.0,23871,24,Trading,Land,Parent,4,14,0,Yes,5.0,Self-Employed,Own,4.17,0.07,5.11,724,1,5376,5000,No,Medium,Average,LO_056,Ho-04,Mobile,1.02,1,No
CUST-000073,61,Male,Married,None,Greater Accra,Ga South,Trader,2560,106.0,16581,12,Medical,Guarantor,Friend,0,18,0,No,5.0,Self-Employed,Rent,6.48,0.04,8.24,631,3,4519,3206,No,Medium,Good,LO_001,Accra-01,Walk-in,0.84,3,Yes
CUST-000074,27,Male,Single,Tertiary,Central,Assin North,Healthcare Worker,1994,502.0,9922,12,Housing,Vehicle,None,1,2,2,Yes,5.0,Salaried,Own,4.98,0.25,6.08,493,2,2201,3496,No,Medium,Poor,LO_043,Bolga-08,Walk-in,0.9,2,No
CUST-000075,58,Female,Married,SHS,Greater Accra,Tema,Transport Operator,3317,501.0,6739,12,Farming,None,None,0,13,1,Yes,4.0,Self-Employed,Family,2.03,0.15,2.03,667,0,0,0,Yes,Medium,Average,LO_004,CapeCoast-07,Mobile,1.19,1,No
CUST-000076,56,Female,Married,JHS,Western,Ahanta West,Transport Operator,859,220.0,2094,12,Housing,Land,None,0,22,0,Yes,4.0,Self-Employed,Own,2.44,0.26,2.44,698,0,0,738,No,Low,Good,LO_025,Tamale-03,Agent,0.71,0,No
CUST-000077,27,Male,Single,SHS,Greater Accra,Ledzokuku-Krowor,Artisan,1905,362.0,500,6,Farming,Guarantor,Parent,0,2,0,Yes,4.0,Self-Employed,Rent,0.26,0.19,0.42,724,0,294,432,Yes,Medium,Good,LO_011,Tamale-03,Agent,1.13,0,No
CUST-000078,40,Male,Married,None,Greater Accra,Tema,Trader,50,50.0,500,6,Education,Guarantor,Spouse,1,0,0,Yes,5.0,Unemployed,Rent,10.0,1.0,12.18,643,1,109,4,Yes,Low,Good,LO_034,CapeCoast-07,Walk-in,0.75,1,Yes
CUST-000079,21,Female,Single,SHS,Ashanti,Kumasi Metro,Artisan,637,50.0,2287,6,Medical,Guarantor,Sibling,1,1,0,No,2.0,Self-Employed,Rent,3.59,0.08,3.59,630,0,0,381,No,Low,Good,LO_033,CapeCoast-07,Walk-in,0.72,0,No
CUST-000080,38,Female,Married,Tertiary,Volta,North Tongu,Civil Servant,12728,3393.0,100000,36,Housing,None,Friend,2,6,0,Yes,8.0,Salaried,Family,7.86,0.27,8.57,830,2,9058,0,Yes,Medium,Good,LO_043,Ho-04,Walk-in,1.08,1,Yes
CUST-000081,57,Male,Married,JHS,Ashanti,Ejisu,Artisan,1538,50.0,7750,12,Transport,Guarantor,Spouse,1,18,0,Yes,4.0,Self-Employed,Rent,5.04,0.03,5.3,667,2,406,130,No,Medium,Good,LO_003,Accra-01,Referral,1.15,1,Yes
CUST-000082,52,Female,Single,Primary,Greater Accra,Ledzokuku-Krowor,Transport Operator,7296,2663.0,68913,36,Education,Land,None,1,17,0,Yes,9.0,Salaried,Family,9.45,0.36,10.03,728,4,4286,5000,Yes,Medium,Good,LO_047,Kumasi-02,Walk-in,0.94,0,Yes
CUST-000083,47,Male,Married,JHS,Greater Accra,Ga South,Trader,4333,288.0,2463,12,Trading,Guarantor,Friend,4,17,0,No,2.0,Self-Employed,Rent,0.57,0.07,0.57,758,1,0,5000,No,Low,Good,LO_054,Kumasi-02,Walk-in,0.86,2,No
CUST-000084,21,Male,Married,SHS,Northern,Yendi,Civil Servant,7113,3233.0,10109,24,Farming,Land,None,1,1,0,Yes,2.0,Salaried,Rent,1.42,0.45,1.44,803,0,161,183,Yes,Low,Good,LO_016,Accra-01,Mobile,0.88,1,No
CUST-000085,32,Male,Single,JHS,Ashanti,Ejisu,Trader,2189,363.0,2778,6,Medical,None,None,0,5,0,No,4.0,Self-Employed,Family,1.27,0.17,3.63,718,0,5167,0,No,Medium,Good,LO_030,Ho-04,Walk-in,0.95,0,No
CUST-000086,65,Male,Divorced,Primary,Eastern,Akyemansa,Artisan,2478,1538.0,17521,24,Farming,Land,None,3,25,0,Yes,2.0,Salaried,Rent,7.07,0.62,7.41,608,5,849,2708,Yes,Low,Poor,LO_010,Kumasi-02,Walk-in,0.94,0,Yes
CUST-000087,48,Male,Married,JHS,Central,Cape Coast,Trader,3838,1058.0,14434,24,Transport,Livestock,Sibling,2,20,1,Yes,3.0,Self-Employed,Rent,3.76,0.28,3.76,586,3,0,0,Yes,Medium,Average,LO_055,Accra-01,Walk-in,0.89,0,Yes
CUST-000088,42,Female,Married,None,Ashanti,Ahafo Ano North,Trader,5798,3263.0,55163,24,Others,None,Parent,3,12,1,Yes,4.0,Self-Employed,Family,9.51,0.56,9.51,586,4,0,0,Yes,Medium,Poor,LO_059,Accra-01,Mobile,0.71,1,Yes
CUST-000089,42,Male,Married,JHS,Central,Assin North,Trader,2232,908.0,500,6,Medical,Guarantor,Friend,0,6,0,Yes,5.0,Salaried,Own,0.22,0.41,0.22,743,2,0,2016,No,Low,Good,LO_047,Kumasi-02,Walk-in,0.73,0,No
CUST-000090,33,Female,Single,Primary,Central,Assin North,Trader,367,274.0,500,6,Education,Land,None,3,0,0,No,6.0,Unemployed,Own,1.36,0.75,2.47,739,0,407,0,Yes,Low,Good,LO_060,Koforidua-06,Mobile,0.9,0,No
CUST-000091,53,Male,Single,JHS,Central,Assin North,Artisan,4028,1169.0,500,12,Trading,None,None,0,12,0,No,7.0,Salaried,Rent,0.12,0.29,0.12,785,0,0,2506,No,Low,Average,LO_020,Bolga-08,Walk-in,0.91,0,No
CUST-000092,39,Male,Married,Tertiary,Ashanti,Asokore Mampong,Civil Servant,7636,1982.0,42170,36,Medical,Land,None,1,9,0,No,9.0,Salaried,Rent,5.52,0.26,5.68,781,1,1187,5000,Yes,Medium,Good,LO_019,Koforidua-06,Referral,0.98,0,No
CUST-000093,20,Female,Single,JHS,Eastern,Koforidua,Artisan,645,251.0,3403,12,Others,Land,None,2,0,0,No,5.0,Self-Employed,Family,5.28,0.39,6.47,684,2,767,0,No,Medium,Good,LO_017,Koforidua-06,Mobile,0.96,0,Yes
CUST-000094,38,Female,Married,None,Greater Accra,Ledzokuku-Krowor,Trader,64,50.0,500,3,Education,None,None,1,0,0,No,6.0,Unemployed,Family,7.81,0.78,7.81,641,2,0,0,No,Low,Good,LO_055,Accra-01,Mobile,0.86,1,No
CUST-000095,70,Female,Widowed,Primary,Eastern,Akyemansa,Artisan,283,50.0,500,6,Education,Guarantor,Friend,0,0,0,Yes,1.0,Unemployed,Own,1.77,0.18,1.77,702,0,0,154,No,Low,Good,LO_010,Kumasi-02,Walk-in,0.92,1,No
CUST-000096,42,Female,Married,JHS,Central,Assin North,Artisan,1985,493.0,10918,24,Transport,None,Spouse,4,15,0,Yes,5.0,Salaried,Own,5.5,0.25,6.83,682,0,2642,1434,No,High,Good,LO_050,CapeCoast-07,Mobile,1.05,1,No
